stock_code,stock_name,candle_end_time,open,high,low,close,pre_close,amount,volume,buy1,sell1,status
sh601985,中国核电,2020-11-05 15:00:03,4.61,4.64,4.57,4.64,4.6,36445968.0,168099330.0,4.63,4.64,00
sz002190,成飞集成,2020-11-05 15:00:03,24.61,25.08,24.61,24.86,24.62,2235657.0,55399243.79,24.86,24.87,00
sz002351,漫步者,2020-11-05 15:00:03,16.42,16.75,16.2,16.64,16.29,11447011.0,188594452.01,16.63,16.64,00
sh601633,长城汽车,2020-11-05 15:00:00,28.0,28.88,27.4,28.7,27.72,64315815.0,1805193107.0,28.7,28.71,00
sz002271,东方雨虹,2020-11-05 15:00:03,37.2,37.45,36.73,37.37,36.94,19585158.0,727426727.26,37.36,37.37,00
sh600036,招商银行,2020-11-05 15:00:03,43.1,43.71,42.38,42.79,42.93,68048685.0,2918967528.0,42.78,42.79,00
sh603160,汇顶科技,2020-11-05 15:00:03,178.93,179.9,176.18,179.56,175.91,3786203.0,675989605.0,179.56,179.57,00
sz003816,中国广核,2020-11-05 15:00:03,2.71,2.72,2.7,2.71,2.7,34257352.0,92774840.59,2.71,2.72,00
sz002230,科大讯飞,2020-11-05 15:00:03,41.0,41.39,40.1,40.55,40.04,48057447.0,1951984531.23,40.54,40.55,00
sz000333,美的集团,2020-11-05 15:00:03,86.05,88.5,85.04,86.11,85.66,35623998.0,3083809644.45,86.11,86.12,00
